,Importance,Std
index,0.017435713906921793,0.0012143942694749544
CNT_CHILDREN,0.0038936705591601922,0.0005494065647709659
AMT_INCOME_TOTAL,0.013791254437419374,0.001089859896176607
AMT_CREDIT,0.016669714068582052,0.001355133844972099
AMT_ANNUITY,0.017653675755496062,0.0012620554184515102
AMT_GOODS_PRICE,0.01492377429750763,0.0014174977872136983
REGION_POPULATION_RELATIVE,0.014466731117673883,0.0010129499035521966
DAYS_BIRTH,0.02015478931031283,0.0022160798353281098
DAYS_EMPLOYED,0.0174144327157502,0.001617711800910447
DAYS_REGISTRATION,0.01814836432390182,0.0013353482182301229
DAYS_ID_PUBLISH,0.018450456305746207,0.0013414313663106397
OWN_CAR_AGE,0.007007582720566177,0.0008250960563475237
FLAG_MOBIL,0.0,0.0
FLAG_EMP_PHONE,0.0010660976066844945,0.0006273771186102458
FLAG_WORK_PHONE,0.0022512596508897573,0.0003571613479837639
FLAG_CONT_MOBILE,6.726077689064562e-05,7.220267279184402e-05
FLAG_PHONE,0.002420670064963671,0.00040602975092123
FLAG_EMAIL,0.0010740421884961949,0.000295770015549409
CNT_FAM_MEMBERS,0.00550833529180961,0.0006436579969189867
REGION_RATING_CLIENT,0.003043335386762075,0.0006198593239948236
REGION_RATING_CLIENT_W_CITY,0.0031216687683075003,0.0006330926193565798
HOUR_APPR_PROCESS_START,0.011962974861292665,0.0009727899145949884
REG_REGION_NOT_LIVE_REGION,0.00043522431696140895,0.00017728578547431318
REG_REGION_NOT_WORK_REGION,0.0008830502248780467,0.00023953009580959074
LIVE_REGION_NOT_WORK_REGION,0.0008068870080808686,0.00023101772447746438
REG_CITY_NOT_LIVE_CITY,0.0017453985015202197,0.0003699101280066541
REG_CITY_NOT_WORK_CITY,0.0023372959000058364,0.0004019649091224871
LIVE_CITY_NOT_WORK_CITY,0.0020483553273656354,0.0004179080337199912
EXT_SOURCE_1,0.014160104846971094,0.00340124183038071
EXT_SOURCE_2,0.02964724333590185,0.006828426100226166
EXT_SOURCE_3,0.029886580368067194,0.008871923823432147
APARTMENTS_AVG,0.005217047410872766,0.0007920335077920598
BASEMENTAREA_AVG,0.004378697943859595,0.0005985902763295189
YEARS_BEGINEXPLUATATION_AVG,0.0055017419142577685,0.0007173230888934347
YEARS_BUILD_AVG,0.0035691128500666964,0.0005653688678506333
COMMONAREA_AVG,0.00350780591331864,0.0005581827500892479
ELEVATORS_AVG,0.0016041436914557771,0.00039547425287038375
ENTRANCES_AVG,0.0036021952484526346,0.0006074155929862184
FLOORSMAX_AVG,0.0027228393544383132,0.000607146328684799
FLOORSMIN_AVG,0.002220463492092935,0.0004685487732392082
LANDAREA_AVG,0.004599411801150767,0.0006386851315880112
LIVINGAPARTMENTS_AVG,0.00337903249864534,0.000620747376101093
LIVINGAREA_AVG,0.005782027026479888,0.0008288615930054665
NONLIVINGAPARTMENTS_AVG,0.0016065479795493995,0.00033215833294403865
NONLIVINGAREA_AVG,0.003615695333798118,0.0005697367615657692
APARTMENTS_MODE,0.005031465858777966,0.0007129052630617563
BASEMENTAREA_MODE,0.004348619997414395,0.0006441970768322653
YEARS_BEGINEXPLUATATION_MODE,0.005527443535747308,0.0006386695670112612
YEARS_BUILD_MODE,0.00352414706288846,0.0005539214560062975
COMMONAREA_MODE,0.003502811594187515,0.0005713945861825073
ELEVATORS_MODE,0.0013785735561375808,0.00041252991004449405
ENTRANCES_MODE,0.0032761235208897,0.0005464744391225577
FLOORSMAX_MODE,0.0024607754233911144,0.0005729152025618375
FLOORSMIN_MODE,0.0020630368341450185,0.0004205978818153319
LANDAREA_MODE,0.0045540911793163965,0.0006515694437209761
LIVINGAPARTMENTS_MODE,0.0034445787219301626,0.0005318834013511354
LIVINGAREA_MODE,0.005852040812074143,0.0008368583590904493
NONLIVINGAPARTMENTS_MODE,0.00140794112253465,0.00037838091117507055
NONLIVINGAREA_MODE,0.003319806325636047,0.0005048986205718074
APARTMENTS_MEDI,0.005179842520375547,0.0008222401408416844
BASEMENTAREA_MEDI,0.00435277264473324,0.0006589504582563159
YEARS_BEGINEXPLUATATION_MEDI,0.005445621880271042,0.0007449095344028392
YEARS_BUILD_MEDI,0.0035173926298948375,0.0005371808833216129
COMMONAREA_MEDI,0.0035139527033415637,0.0005631020611232669
ELEVATORS_MEDI,0.0014558194315192883,0.0003675462698852052
ENTRANCES_MEDI,0.0033728325469318974,0.0005976698698996266
FLOORSMAX_MEDI,0.0026676553487425055,0.0006782652520736928
FLOORSMIN_MEDI,0.002062091550465302,0.0004188501467432822
LANDAREA_MEDI,0.004569455289142667,0.0006679723750478736
LIVINGAPARTMENTS_MEDI,0.0033873890003916825,0.0005531141060560091
LIVINGAREA_MEDI,0.005836497088696582,0.0007558044259971139
NONLIVINGAPARTMENTS_MEDI,0.0015024467414765002,0.00036775505270755966
NONLIVINGAREA_MEDI,0.0034794353219056422,0.0006056961166956224
TOTALAREA_MODE,0.006105138353780177,0.0007880887968795474
OBS_30_CNT_SOCIAL_CIRCLE,0.007184486254837653,0.0007302439711031334
DEF_30_CNT_SOCIAL_CIRCLE,0.0027953934243108436,0.00045026985080632117
OBS_60_CNT_SOCIAL_CIRCLE,0.007117054966234002,0.0007728282077344832
DEF_60_CNT_SOCIAL_CIRCLE,0.0023658205243553116,0.00043937412480184727
DAYS_LAST_PHONE_CHANGE,0.016881116053102135,0.0015803435438651288
FLAG_DOCUMENT_2,0.0,0.0
FLAG_DOCUMENT_3,0.002457652219363695,0.0004590855541720837
FLAG_DOCUMENT_4,2.943638833087935e-07,4.15251358378632e-06
FLAG_DOCUMENT_5,0.000503944307219186,0.00019303349434484003
FLAG_DOCUMENT_6,0.0008331728455369123,0.0002557730007385176
FLAG_DOCUMENT_7,3.1412050023590986e-05,5.682990008364822e-05
FLAG_DOCUMENT_8,0.0011013049817858453,0.00027870652077940293
FLAG_DOCUMENT_9,0.00016506921515877188,0.00012093771490453138
FLAG_DOCUMENT_10,0.0,0.0
FLAG_DOCUMENT_11,0.00011474712957817792,9.49917939903282e-05
FLAG_DOCUMENT_12,0.0,0.0
FLAG_DOCUMENT_13,4.655221289508776e-05,6.0075323824301605e-05
FLAG_DOCUMENT_14,7.848095884391648e-05,8.389092652201595e-05
FLAG_DOCUMENT_15,3.46735372462026e-05,5.230563347050713e-05
FLAG_DOCUMENT_16,0.0002524388569705428,0.00014786492898920812
FLAG_DOCUMENT_17,8.093278389074507e-07,6.573475509389597e-06
FLAG_DOCUMENT_18,0.00021503230025763726,0.0001227832468710769
FLAG_DOCUMENT_19,4.216495652893619e-05,5.879404834816682e-05
FLAG_DOCUMENT_20,5.630615777576386e-05,8.159276155927937e-05
FLAG_DOCUMENT_21,3.0373220486334735e-05,5.315793242827315e-05
AMT_REQ_CREDIT_BUREAU_HOUR,0.0003245891009300936,0.00016822447037161164
AMT_REQ_CREDIT_BUREAU_DAY,0.0003506690043773107,0.00018503345558651163
AMT_REQ_CREDIT_BUREAU_WEEK,0.0008913629738602864,0.00024517022266253626
AMT_REQ_CREDIT_BUREAU_MON,0.0027125513900903685,0.0004782632933305496
AMT_REQ_CREDIT_BUREAU_QRT,0.003260679826013467,0.0004637879724178294
AMT_REQ_CREDIT_BUREAU_YEAR,0.008946973433978496,0.000789680901849784
EXT_SOURCE_1over2_NAminus1_Add0.1,0.023137606910354797,0.00467854481227763
EXT_SOURCE_2over1_NAminus1_Add0.1,0.02063010241186057,0.00256864942906606
EXT_SOURCE_1over3_NAminus1_Add0.1,0.023548610092758323,0.006284522496815544
EXT_SOURCE_3over1_NAminus1_Add0.1,0.02073419384562886,0.004093710851526502
EXT_SOURCE_2over3_NAminus1_Add0.1,0.02259847879523218,0.0033956807375452517
EXT_SOURCE_3over2_NAminus1_Add0.1,0.0209768698326012,0.002888229908868318
EXT_SOURCE_na1_2,0.013024338944236578,0.002421785907970283
EXT_SOURCE_na1_3,0.012467090583189148,0.003478836444655838
EXT_SOURCE_na2_1,4.404872240644862e-05,6.852571947091847e-05
EXT_SOURCE_na2_3,7.957622572523131e-05,8.709291573732566e-05
EXT_SOURCE_na3_1,0.0008683174258956321,0.0004821902916785502
EXT_SOURCE_na3_2,0.002283169028438789,0.000920890779603701
NAME_CONTRACT_TYPE_Cash loans,0.0011490688192162726,0.0003594155315933324
NAME_CONTRACT_TYPE_Revolving loans,0.0011362406968631765,0.0003443838435294439
CODE_GENDER_F,0.0027816008891972228,0.000771463179553925
CODE_GENDER_M,0.0027261385067892333,0.0007558131307415833
FLAG_OWN_CAR_N,0.0022534237845713064,0.00044074001437275636
FLAG_OWN_CAR_Y,0.00222503282302042,0.00038519897964105524
FLAG_OWN_REALTY_N,0.0024425082717048625,0.0003905728384896258
FLAG_OWN_REALTY_Y,0.002445910026637437,0.0003989506190374172
NAME_TYPE_SUITE_Children,0.0004415010801726365,0.00018169119117131724
NAME_TYPE_SUITE_Family,0.00173663688457002,0.0003262467289450276
NAME_TYPE_SUITE_Group of people,5.208083366453795e-05,6.690720825499402e-05
NAME_TYPE_SUITE_Other_A,0.00018446632403810146,0.0001230216347445358
NAME_TYPE_SUITE_Other_B,0.0003436337410696554,0.0001686293948783491
"NAME_TYPE_SUITE_Spouse, partner",0.0008962464878369465,0.00023906710853820043
NAME_TYPE_SUITE_Unaccompanied,0.002084809095611193,0.0003987521323035547
NAME_INCOME_TYPE_Businessman,0.0,0.0
NAME_INCOME_TYPE_Commercial associate,0.0019461790902993582,0.0004555928109693874
NAME_INCOME_TYPE_Pensioner,0.0011850668327161183,0.0008338532796009196
NAME_INCOME_TYPE_State servant,0.0009450693754741271,0.000277651971288402
NAME_INCOME_TYPE_Student,3.49417172253876e-07,3.5300793417061716e-06
NAME_INCOME_TYPE_Unemployed,3.037786431588726e-07,4.28532511530335e-06
NAME_INCOME_TYPE_Working,0.002879344407513563,0.0006992740336816925
NAME_EDUCATION_TYPE_Academic degree,1.6393327196335093e-05,3.9135961462387235e-05
NAME_EDUCATION_TYPE_Higher education,0.0029215887934739555,0.0011554850279346283
NAME_EDUCATION_TYPE_Incomplete higher,0.0007309681216823652,0.0002153480911840745
NAME_EDUCATION_TYPE_Lower secondary,0.0006901752275811035,0.0002582010397523251
NAME_EDUCATION_TYPE_Secondary / secondary special,0.0026388350511411377,0.0008452400608490948
NAME_FAMILY_STATUS_Civil marriage,0.0016966533143657706,0.0003620934761930736
NAME_FAMILY_STATUS_Married,0.0026479077139307467,0.00040113324742310335
NAME_FAMILY_STATUS_Separated,0.001291478721565931,0.0002980879172719434
NAME_FAMILY_STATUS_Single / not married,0.001900187532808294,0.0003563556553413998
NAME_FAMILY_STATUS_Widow,0.0008061416316322751,0.0002545200766724008
NAME_HOUSING_TYPE_Co-op apartment,0.00018098381706828034,0.0001221998294934313
NAME_HOUSING_TYPE_House / apartment,0.0016984722810288587,0.00034145983899052913
NAME_HOUSING_TYPE_Municipal apartment,0.0008950709369633386,0.00026740144276500414
NAME_HOUSING_TYPE_Office apartment,0.00030817333255103046,0.00014688674553646876
NAME_HOUSING_TYPE_Rented apartment,0.000737163340731318,0.00023489998106915604
NAME_HOUSING_TYPE_With parents,0.0012089968200376241,0.0003297161323204844
OCCUPATION_TYPE_Accountants,0.000543443124470606,0.00020286233140624183
OCCUPATION_TYPE_Cleaning staff,0.000622037681218962,0.00021071751267127763
OCCUPATION_TYPE_Cooking staff,0.0008099659009921437,0.00022943570003093735
OCCUPATION_TYPE_Core staff,0.0012423245445202908,0.0003163197577936286
OCCUPATION_TYPE_Drivers,0.001424317457209257,0.0003298626731615135
OCCUPATION_TYPE_HR staff,8.073024536918e-05,7.757495149022087e-05
OCCUPATION_TYPE_High skill tech staff,0.0006950462679889204,0.00023260774114977354
OCCUPATION_TYPE_IT staff,7.524971758042406e-05,8.00688358641004e-05
OCCUPATION_TYPE_Laborers,0.002427439673362782,0.0004375264307014865
OCCUPATION_TYPE_Low-skill Laborers,0.0005747717423152612,0.00022353013814583008
OCCUPATION_TYPE_Managers,0.000977903130811587,0.0002535982970866535
OCCUPATION_TYPE_Medicine staff,0.0006237954152833298,0.00021032805465973192
OCCUPATION_TYPE_Private service staff,0.0003263271922800557,0.00016685516984664376
OCCUPATION_TYPE_Realty agents,0.00017125461512751235,0.00011855830057574699
OCCUPATION_TYPE_Sales staff,0.0017080126972969898,0.00032678615177503994
OCCUPATION_TYPE_Secretaries,0.00017721160589634778,0.00010773064983648059
OCCUPATION_TYPE_Security staff,0.0007908726282088343,0.00022147743925483032
OCCUPATION_TYPE_Waiters/barmen staff,0.00033288877953525654,0.00017100290579183586
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0021200178884268244,0.0003732419599412843
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0019288250777217248,0.00037943103101806746
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0016050856039736298,0.0003340631789116874
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0010758442691462678,0.0003020266639661917
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0020746265019370353,0.0003631942151186706
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0021114228039133876,0.00037317095691962886
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.002110551543250894,0.00040122970395049226
ORGANIZATION_TYPE_Advertising,0.00011806189206428326,0.00010848493829035162
ORGANIZATION_TYPE_Agriculture,0.0004044402487212137,0.00018731454573293365
ORGANIZATION_TYPE_Bank,0.00018512064152897636,0.00011494704768617327
ORGANIZATION_TYPE_Business Entity Type 1,0.0006664870796533702,0.000213993271911238
ORGANIZATION_TYPE_Business Entity Type 2,0.000883208140750393,0.0002550623958851236
ORGANIZATION_TYPE_Business Entity Type 3,0.002350194300068984,0.0004318912987912632
ORGANIZATION_TYPE_Cleaning,6.547222093183401e-05,8.471983961601623e-05
ORGANIZATION_TYPE_Construction,0.0008817576333055494,0.00026170361039129253
ORGANIZATION_TYPE_Culture,8.302756920232353e-05,9.043211555766105e-05
ORGANIZATION_TYPE_Electricity,0.0001655183174292258,0.00011100564364078158
ORGANIZATION_TYPE_Emergency,0.00011103945255679913,9.795555276298331e-05
ORGANIZATION_TYPE_Government,0.000758028589898385,0.0002324904032995251
ORGANIZATION_TYPE_Hotel,0.00016867514301048948,0.000123399710007457
ORGANIZATION_TYPE_Housing,0.0004167425487321264,0.00018690790917037502
ORGANIZATION_TYPE_Industry: type 1,0.00030469863378290816,0.000163795120833815
ORGANIZATION_TYPE_Industry: type 10,2.8633531068740394e-05,4.919029740879058e-05
ORGANIZATION_TYPE_Industry: type 11,0.00040402697430358853,0.00018160847890691186
ORGANIZATION_TYPE_Industry: type 12,6.177539412263661e-05,7.571615437309206e-05
ORGANIZATION_TYPE_Industry: type 13,1.1564252067250126e-05,3.1497443058694564e-05
ORGANIZATION_TYPE_Industry: type 2,0.00010119472309731852,9.406627725844686e-05
ORGANIZATION_TYPE_Industry: type 3,0.0005339990101168777,0.000203529998250283
ORGANIZATION_TYPE_Industry: type 4,0.0002082955260038698,0.00013502570798292016
ORGANIZATION_TYPE_Industry: type 5,0.0001240648118511109,0.00010571611412542629
ORGANIZATION_TYPE_Industry: type 6,1.4097686509867262e-05,3.6700309040108084e-05
ORGANIZATION_TYPE_Industry: type 7,0.00022897004369084296,0.00014322098858296473
ORGANIZATION_TYPE_Industry: type 8,1.7973298544002167e-06,1.0092073533813393e-05
ORGANIZATION_TYPE_Industry: type 9,0.0003282979670755686,0.00015838111312461737
ORGANIZATION_TYPE_Insurance,0.00012090019849103514,0.00010148067571592737
ORGANIZATION_TYPE_Kindergarten,0.0005830018652688267,0.0002085053061076403
ORGANIZATION_TYPE_Legal Services,8.944606473242077e-05,9.040960938296009e-05
ORGANIZATION_TYPE_Medicine,0.0007558167655267896,0.0002455452211121617
ORGANIZATION_TYPE_Military,0.000223775211729259,0.00011553260819370637
ORGANIZATION_TYPE_Mobile,8.746375812125421e-05,9.248889087544228e-05
ORGANIZATION_TYPE_Other,0.0010531340107681785,0.00027846422733123524
ORGANIZATION_TYPE_Police,0.0002243704668314031,0.00014366328798800414
ORGANIZATION_TYPE_Postal,0.0003788079445962169,0.00018937742210692045
ORGANIZATION_TYPE_Realtor,0.00013345458189486769,0.00011489834117940372
ORGANIZATION_TYPE_Religion,3.0358979522485725e-05,5.548926102700026e-05
ORGANIZATION_TYPE_Restaurant,0.0004316355176784263,0.0002051922511259779
ORGANIZATION_TYPE_School,0.0006267353896185067,0.00021688054485791649
ORGANIZATION_TYPE_Security,0.00044578180883771417,0.00017515987944549937
ORGANIZATION_TYPE_Security Ministries,0.0001662032246761494,0.00011702856957997271
ORGANIZATION_TYPE_Self-employed,0.0021389287018131046,0.0003767741936132715
ORGANIZATION_TYPE_Services,0.00024194721228600364,0.0001323058406105745
ORGANIZATION_TYPE_Telecom,0.0001443568205661501,0.00011511227791800644
ORGANIZATION_TYPE_Trade: type 1,8.640397453468997e-05,8.613556971168816e-05
ORGANIZATION_TYPE_Trade: type 2,0.0001656702655341094,0.00011204838756224043
ORGANIZATION_TYPE_Trade: type 3,0.0005048844277219554,0.0001987373989029132
ORGANIZATION_TYPE_Trade: type 4,1.462314170471734e-05,3.378809756908919e-05
ORGANIZATION_TYPE_Trade: type 5,1.022854609778443e-05,2.9864388930034457e-05
ORGANIZATION_TYPE_Trade: type 6,6.731971625734682e-05,7.671413956678423e-05
ORGANIZATION_TYPE_Trade: type 7,0.0007721953000624332,0.0002475240005924577
ORGANIZATION_TYPE_Transport: type 1,4.0596398647651235e-05,6.193132925783371e-05
ORGANIZATION_TYPE_Transport: type 2,0.0003179506460553764,0.00015967194182326075
ORGANIZATION_TYPE_Transport: type 3,0.0004375698348437158,0.0001930571141690569
ORGANIZATION_TYPE_Transport: type 4,0.0006210249118280251,0.0002056463503315709
ORGANIZATION_TYPE_University,0.00015853542049712194,0.00011663117869651112
ORGANIZATION_TYPE_XNA,0.0010872479351052716,0.0006008732857896857
FONDKAPREMONT_MODE_not specified,0.0003927910268686539,0.00018196073858416407
FONDKAPREMONT_MODE_org spec account,0.00027984479071277104,0.00014784851355214892
FONDKAPREMONT_MODE_reg oper account,0.0009051987470473078,0.0002821891261464862
FONDKAPREMONT_MODE_reg oper spec account,0.0004519726802582377,0.00019160690197774077
HOUSETYPE_MODE_block of flats,0.0008855627051422205,0.00026869935217623095
HOUSETYPE_MODE_specific housing,0.0002473924371036247,0.00015009042131746482
HOUSETYPE_MODE_terraced house,0.000181590634476375,0.00011434555893311074
WALLSMATERIAL_MODE_Block,0.0004980967015898951,0.0002041178503421367
WALLSMATERIAL_MODE_Mixed,0.00022045653708651123,0.00012066856549964919
WALLSMATERIAL_MODE_Monolithic,9.887995740010138e-05,8.58696840935975e-05
WALLSMATERIAL_MODE_Others,0.0002841183873155484,0.00013706867475416482
WALLSMATERIAL_MODE_Panel,0.0009458644881368947,0.0002752459169643846
"WALLSMATERIAL_MODE_Stone, brick",0.001163442253906973,0.00027823359464507804
WALLSMATERIAL_MODE_Wooden,0.0004343456134450873,0.00018992283076928518
EMERGENCYSTATE_MODE_No,0.0009656990547876164,0.00035717621446667685
EMERGENCYSTATE_MODE_Yes,0.0003161850979309053,0.00018112152076643187
Active,0.00859470431749469,0.0010629531850326673
Bad debt,6.695988884537813e-06,2.4525233209946844e-05
Closed,0.008515900609456617,0.0009435304164117771
Sold,0.0005542251808796849,0.00023059091303335975
currency 1,0.009817998739986357,0.0008987701940413394
currency 2,0.0001410067005953426,0.0001108841480758316
currency 3,5.569711003675384e-05,6.72403528143704e-05
currency 4,0.0,0.0
DAYS_CREDIT_YRS_Active,0.016223586179635784,0.001465494983800232
DAYS_CREDIT_YRS_Bad debt,1.0019363005739539e-05,2.9069768050692045e-05
DAYS_CREDIT_YRS_Closed,0.01589443169713566,0.0024735056994764923
DAYS_CREDIT_YRS_Sold,0.0009980842399144678,0.0003193219064001423
DAYS_CREDIT_ENDDATE_YRS_Active,0.016644574568785396,0.0014885678931198271
DAYS_CREDIT_ENDDATE_YRS_Bad debt,5.043237152233127e-06,2.3184232067499705e-05
DAYS_CREDIT_ENDDATE_YRS_Closed,0.0155320458064917,0.0014828952765398
DAYS_CREDIT_ENDDATE_YRS_Sold,0.0011292188393543078,0.0003340253491858382
DAYS_ENDDATE_FACT_YRS_Active,0.0003244451439453376,0.00015843267718970177
DAYS_ENDDATE_FACT_YRS_Bad debt,5.3484384226098825e-06,2.5887615325271796e-05
DAYS_ENDDATE_FACT_YRS_Closed,0.015409893850225218,0.0021392962100175127
DAYS_ENDDATE_FACT_YRS_Sold,0.00045375092552646476,0.00023118808457685063
CREDIT_DAY_OVERDUE_YRS,0.0010638045930574022,0.0003009610753266226
AMT_CREDIT_MAX_OVERDUE,0.008853756710487878,0.0009584928830054146
CNT_CREDIT_PROLONG,0.0009641372380748062,0.0002455668676144512
AMT_CREDIT_SUM_Active,0.014950123070384817,0.001197036104526796
AMT_CREDIT_SUM_Bad debt,1.0060026770343494e-05,2.9284882761634942e-05
AMT_CREDIT_SUM_Closed,0.01581917728965805,0.001817514066911874
AMT_CREDIT_SUM_Sold,0.0009870349698432963,0.0003110833661079223
AMT_CREDIT_SUM_DEBT_Active,0.014614187789536291,0.0014560031043957752
AMT_CREDIT_SUM_DEBT_Bad debt,2.740351231386187e-06,1.5288787845916466e-05
AMT_CREDIT_SUM_DEBT_Closed,0.0015366928843309044,0.0004208171030418672
AMT_CREDIT_SUM_DEBT_Sold,7.752629529449994e-05,8.784276500184676e-05
AMT_CREDIT_SUM_LIMIT_Active,0.0056437133361652795,0.0007960754467665146
AMT_CREDIT_SUM_LIMIT_Bad debt,7.5840933239521256e-06,3.297257980741336e-05
AMT_CREDIT_SUM_LIMIT_Closed,0.000683922610606261,0.0002558307173035362
AMT_CREDIT_SUM_LIMIT_Sold,7.215515817480425e-06,2.7381135499867265e-05
AMT_CREDIT_SUM_OVERDUE_Active,0.0014923260997180105,0.0004906789794787797
AMT_CREDIT_SUM_OVERDUE_Bad debt,4.776341816049592e-06,2.5485873660693328e-05
AMT_CREDIT_SUM_OVERDUE_Closed,0.00013532387862303432,0.00012410562178800344
AMT_CREDIT_SUM_OVERDUE_Sold,0.0,0.0
Another type of loan,0.00015863410094957175,0.00012811160357782038
Car loan,0.0011919918502247687,0.0003195362272752059
Cash loan (non-earmarked),1.2534811288182607e-05,3.644518099574638e-05
Consumer credit,0.009134360986839484,0.0008587519979255443
Credit card,0.006887012192094913,0.0007310176701223459
Interbank credit,0.0,0.0
Loan for business development,0.00024574731301543545,0.00015171563312845555
Loan for purchase of shares (margin lending),0.0,0.0
Loan for the purchase of equipment,1.894755407254219e-05,5.3338269458340775e-05
Loan for working capital replenishment,0.0001227011034814947,0.00011238767400430592
Microloan,0.0018831664227089873,0.0006197092470413825
Mobile operator loan,0.0,0.0
Mortgage,0.0007670817670455813,0.0002497638512119328
Real estate loan,1.9445291117312355e-07,2.7430958783966737e-06
Unknown type of loan,0.0001396941885995775,0.00010770930455763365
DAYS_CREDIT_UPDATE_YRS,0.01938193679950514,0.003255318020104735
AMT_ANNUITY_bureau,0.0068794219588853645,0.0006956221431752072
